Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date
1.641E+12,0.8298,0.8557,0.8297,0.8507,136976730,1.64108E+12,115507460.4,178238,70090109,59113405.01,0,01-01-2022
1.64108E+12,0.8508,0.8667,0.8372,0.8586,129688032,1.64117E+12,110265575.8,176940,65996017,56117623.46,0,02-01-2022
1.64117E+12,0.8586,0.8587,0.8213,0.8324,178618617,1.64125E+12,149876148.1,232484,89735857,75298817.19,0,03-01-2022
1.64125E+12,0.8324,0.8456,0.7794,0.8228,214415744,1.64134E+12,177691937,270966,104076850,86367665.36,0,04-01-2022
1.64134E+12,0.8227,0.8372,0.7092,0.7726,370612510,1.64143E+12,294783762.3,482373,173152247,137997621.9,0,05-01-2022
1.64143E+12,0.7725,0.7909,0.7377,0.7791,307202277,1.64151E+12,234402002.1,415169,151109632,115283157.8,0,06-01-2022
1.64151E+12,0.779,0.7808,0.7287,0.7634,372926762,1.6416E+12,281919749.2,511973,177050288,133890338.7,0,07-01-2022
1.6416E+12,0.7634,0.7768,0.7222,0.7452,253028571,1.64169E+12,190213053.8,347309,122226022,91911985.05,0,08-01-2022
1.64169E+12,0.7452,0.7667,0.7381,0.753,151521399,1.64177E+12,113888420.5,211515,74010465,55633357.26,0,09-01-2022
1.64177E+12,0.753,0.7589,0.6967,0.7399,313080154,1.64186E+12,228730493.5,359880,155055910,113354601.6,0,10-01-2022
1.64186E+12,0.7399,0.7768,0.7306,0.7703,254065075,1.64195E+12,190447525.4,285391,131311656,98408665.5,0,11-01-2022
1.64195E+12,0.7702,0.816,0.757,0.7987,295701910,1.64203E+12,231115520.8,330205,152951383,119559374.4,0,12-01-2022
1.64203E+12,0.7986,0.8024,0.7604,0.768,227833834,1.64212E+12,178544935.2,247605,110303627,86439902.8,0,13-01-2022
1.64212E+12,0.7677,0.8,0.7513,0.7732,221104212,1.6422E+12,170797410.1,242416,110650666,85508025.43,0,14-01-2022
1.6422E+12,0.7733,0.79,0.768,0.7791,138443019,1.64229E+12,107785186.3,159163,66517924,51809404.94,0,15-01-2022
1.64229E+12,0.7791,0.7884,0.768,0.7784,125068081,1.64238E+12,97287674.58,157210,61255756,47661753.26,0,16-01-2022
1.64238E+12,0.7785,0.7805,0.7498,0.7617,181653025,1.64246E+12,138537212.1,205250,87928840,67048581.07,0,17-01-2022
1.64246E+12,0.7616,0.7686,0.7352,0.7509,188367099,1.64255E+12,141172279.4,209700,92556337,69375577.47,0,18-01-2022
1.64255E+12,0.751,0.7533,0.7231,0.7381,190555142,1.64264E+12,140704196.4,214504,92323317,68185226.17,0,19-01-2022
1.64264E+12,0.7381,0.7622,0.7161,0.7199,205931050,1.64272E+12,153121537.1,218718,92776494,69090083.17,0,20-01-2022
1.64272E+12,0.7199,0.7285,0.6112,0.6368,612944841,1.64281E+12,410698993.9,579921,283151610,189699610.1,0,21-01-2022
1.64281E+12,0.6368,0.6542,0.5489,0.5966,769947907.1,1.6429E+12,460971551.6,714427,370364682.5,221834544.8,0,22-01-2022
1.6429E+12,0.5966,0.6352,0.59,0.6283,331234207,1.64298E+12,202062551.6,347609,162325892,99066781.98,0,23-01-2022
1.64298E+12,0.6284,0.6286,0.5524,0.6118,513343471,1.64307E+12,300019737.6,520142,250617559,146514446.6,0,24-01-2022
1.64307E+12,0.6118,0.6243,0.5872,0.618,319618429,1.64316E+12,192980719.1,298398,157355880,95022691.42,0,25-01-2022
1.64316E+12,0.6178,0.6586,0.6047,0.6193,466864710,1.64324E+12,293046543.4,425965,230375796,144665471.5,0,26-01-2022
1.64324E+12,0.6193,0.6247,0.5893,0.6088,292543906,1.64333E+12,176630359,264351,132968036,80340602.79,0,27-01-2022
1.64333E+12,0.6089,0.614,0.5916,0.6111,221009653,1.64341E+12,133208703.8,215447,109391522,65959261.98,0,28-01-2022
1.64341E+12,0.6112,0.6255,0.6083,0.6174,154572094,1.6435E+12,95192596.38,157630,77341413,47642622.71,0,29-01-2022
1.6435E+12,0.6175,0.6232,0.5973,0.6013,146491081,1.64359E+12,89634415.73,155232,69182128,42355597.92,0,30-01-2022
1.64359E+12,0.6012,0.6242,0.5803,0.6174,213749309,1.64367E+12,127444698.2,202749,108262249,64612912.7,0,31-01-2022
1.64367E+12,0.6174,0.6308,0.6107,0.6284,174300620,1.64376E+12,108325641.4,179180,92006396,57191761.01,0,01-02-2022
1.64376E+12,0.6284,0.6314,0.5955,0.6006,186608762,1.64385E+12,114856317.5,195159,91214428,56181186.22,0,02-02-2022
1.64385E+12,0.6006,0.6116,0.5886,0.6102,168129675,1.64393E+12,100903909.2,166019,82030398,49239399.17,0,03-02-2022
1.64393E+12,0.6101,0.6589,0.6044,0.6555,263927174,1.64402E+12,164697317.1,234991,140894316,87920154.49,0,04-02-2022
